year,chapter,source,difficulty,base,base_description,option_1,option_1_desc,option_2,option_2_desc,option_3,option_3_desc,option_4,option_4_desc,correct_answer,vowelized,phrases
WIN22,a,NITE,1,מגבת:רטוב,מגבת גורמת לאדם להפסיק להיות רטוב,מחבת:רעב,מחבת היא כלי שבעזרתו יוצרים מאכל כדי שאדם יפסיק להיות רעב,מיטה:ישן,מיטה היא המקום שבו אדם ישן,תרופה:חולה,תרופה גורמת לאדם להפסיק להיות חולה,אמבט:נקי,אמבט הוא מקום שבו אדם הופך לנקי,3,1,0
WIN22,a,NITE,2,עונה:חורף,חורף הוא עונה,סהר:ירח,ירח זו מילה נרדפת לסהר,שנה:חודש,חודש הוא חלק משנה,חולצה:סוודר,סוודר הוא סוג של חולצה שלובשים כשקר,אסיה:יבשת,אסיה היא יבשת,4,0,0
WIN22,a,NITE,3,לטוות:לתפור,לטוות זה ליצור חוטים בהם משתמשים כדי לתפור,לסתת:לבנות,לסתת זה לעבד אבנים שבהן משתמשים כדי לבנות,לדובב:לשתוק,לדובב זה לגרום למישהו להפסיק לשתוק,להשקות:לרוות,להשקות מישהו בנוזל יגרום לו לרוות,לבקש:למאן,"לבקש היא פנייה למישהו כדי שיבצע משהו, למאן זה לסרב לפנייה",1,1,0
WIN22,a,NITE,4,דלק:תחנת דלק,תחנת דלק היא מקום שאפשר לקנות בו דלק,חשמל:תחנת כוח,תחנת כוח היא מקום שמייצר חשמל,ביצים:לול,לול הוא מקום שיש בו תרנגולות שמטילות ביצים,כרטיסים:קופה,קופה היא מקום שאפשר לקנות בו כרטיסים,ספרים:ספרייה,ספרייה היא מקום שאפשר להשאיל ממנו ספרים,3,0,1
WIN22,a,NITE,5,עקב אכילס:חולשה,עקב אכילס הוא ביטוי שמשמעותו נקודת חולשה,קו פרשת המים:מפנה,קו פרשת המים הוא ביטוי שמשמעותו נקודת מפנה,בבת העין:חשיבות,בבת העין הוא ביטוי שמשמעותו דבר בעל חשיבות גבוהה,נקודת מבט:מראה,"נקודת מבט הוא ביטוי שמשמעותו הכיוון שממנו מסתכלים על בעיה למשל, מרהא זה מה שהעין רואה",חלק הארי:כמות,חלק הארי הוא ביטוי שמתאר כמות גדולה,2,1,1
WIN22,a,NITE,6,הורד:העלה,"אם דבר מה הורד, אז כדי להחזירו למצב הקודם, מישהו העלה אותו",הרעיש:הוסה,אם מישהו הוסה זה מכיוון שהוא הרעיש,הצליח:הוכשל,אם מישהו הוכשל אז הוא לא הצליח,שיפץ:הוחרב,"אם משהו הוחרב, אז כדי להחזירו למצב הקודם, מישהו בנה אותו ולא רק שיפץ",פישט:סובך,"אם משהו סובך, אז כדי להחזירו למצב הקודם, מישהו פישט אותו",4,1,0
WIN22,b,NITE,1,אופניים:לדווש,כדי לעשות שימוש באופניים יש לדווש,חצוצרה:לנשוף,כדי לעשות שימוש בחצוצרה יש לנשוף,זכוכית:לנפח,כדי לעבד זכוכית יש לנפח אותה,קומקום:לחמם,תפקידו של קומקום הוא לחמם מים,מקטרת:לעשן,מקטרת היא כלי שבעזרתו ניתן לעשן,1,0,0
WIN22,b,NITE,2,כבד פה:רהיטות,אדם כבד פה מתאפיין בחוסר רהיטות,קל דעת:פזיזות,אדם קל דעת מתאפיין בפזיזות,קל תפיסה:הסבר,אדם קל תפיסה לא יזדקק להסבר,קשה לב:תחנונים,אדם קשה לב לא נענה לתחנונים,קשה עורף:פשרנות,אדם קשה עורף מתאפיין בחוסר פשרנות,4,0,1
WIN22,b,NITE,3,השאלה:הענקה,השאלה היא הענקה זמנית,השעיה:פיטורין,השעיה היא פיטורין זמניים,השכרה:תשלום,השכרה נעשית תמורת תשלום,דיבוב:תרגום,דיבוב נעשה לצורכי תרגום,שידוך:נישואין,שידוך נעשה למטרת נישואין,1,0,0
WIN22,b,NITE,4,מצרים:מצרימה,משמעות המילה מצרימה היא לכיוון מצרים,עת:עתה,משמעות המילה עתה היא בעת הנוכחי,שמאל:שמאלה,משמעות המילה שמאלה היא לכיוון שמאל,הלום:הנה,משמעות המילה הנה היא הלום,תחתון: למטה,"משמעות המילה למטה היא לכיוון מקום נמוך יותר, בעוד שתחתון הוא במיקום נמוך",2,1,0
WIN22,b,NITE,5,בשל:בשל,דבר שבשל הגיע למצב שבו הוא בשל,נרגע:רגוע,אדם שנרגע היא למצב שבו הוא רגוע,התעצל:עצל,ייתכן שאדם שהתעצל הוא אדם עצל,התחמם:חמים,דבר שהתחמם קצת הגיע למצב שהוא חמים,תיקן:תקין,אדם שתיקן דבר מה הפך אותו לתקין,1,1,0
WIN22,b,NITE,6,אל נכון:ספק,משמעות המילה אל נכון היא ללא ספק,לסירוגין:הפסקה,"לסירוגין זה לעשות דבר מה באופן לא רצוף, כלומר העם הפסקה",ביוקר:חינם,"משמעות המילה ביוקר היא לשלם מחיר גבוה עבור משהו, ההפך מחינם",לחינם:תועלת,משמעות המילה לחינם היא ללא תועלת,במזיד:כוונה,משמעות המילה במזיד היא מתוך כוונה,3,0,1
FA22,a,NITE,1,מאפה:אפה,מאפה הוא מאכל שמישהו אפה,ממרח:מרח,ממרח הוא מאכל שמישהו מרח על מאכל אחר,קציצה:קצץ,קציצה היא מאכל שבסיסו דברים שמישהו קצץ,תבשיל:בישל,תבשיל הוא מאכל שמישהו בישל,משקה:השקה,משקה הוא נוזל שמישהו השקה בו אדם אחר,3,0,0
FA22,a,NITE,2,רוכסן:תיק,רוכסן הוא מנגנון המשמש לסגירת תיק,כפתור:לולאה,"כפתור הוא אביזר המשמש לסגירת בגד, ויש להעביר אותו דרך לולאה",סורג:חלון,סורג הוא רשת ברזל המותקנת על חלון,קוף:המחט,"קוף הוא נקב הנמצא בראש המחט, ודרכו משחילים את החוט",דלת:חדר,דלת היא עצם המשמש לסגירת חדר,4,0,0
FA22,a,NITE,3,הדום:רגליים,הדום הוא רהיט שעליו מניחים רגליים,כר:ראש,כר הוא כלי מיטה שעליו מניחים את הראש,צעיף:צוואר,צעיף בד הוא ששמים סביב הצוואר,סיכת ראש:שיער,סיכת ראש היא תכשיט ששמים על השיער,משקפיים:עיניים,"משקפיים הם זוג עדשות להרכבה על העיניים, בדרך כלל לשיפור הראייה",1,1,0
FA22,a,NITE,4,אקראי:חוקיות,אקראי הוא תיאור לדבר שאין לו חוקיות,קל:משקל,קל הוא תיאור לדבר שיש לו מעט משקל,נצחי:קץ,נצחי הוא תיאור לדבר שאין לו קץ,אבוד:מקום,אבוד הוא משהו שהמקום שלו לא ידוע,רווק:נישואין,רווק הוא מי שלא בא בברית הנישואין,2,0,0
FA22,a,NITE,5,הלבין פניו:נכלם,"כאשר אדם הלבין פניו של אחר, הוא הפך אותו לנכלם",ציווה:כפוף,ציווה זה פקד על מישהו שכפוף לו,הלאה:עייף,"כאשר אדם הלאה אדם אחר, הוא עייף אותו",דיבר טובות:מהלל,"אם מישהו דיבר טובות על מישהו אחר וממשיך בכך, הוא מהלל את האחר",ראה שחורות:קודר,מי שראה שחורות חזה עתיד קודר,2,1,1
FA22,a,NITE,6,פיקח:ערום,"אם מישהו הוא ערום (מלשון עורמה), הוא מנצל באופן פיקחי (חכם) את תמימותם של אחרים",אכזר:רחום,אכזר הוא אדם לא רחום,יהיר:שחצן,יהיר ושחצן הן מילים בעלות משמעות דומה: מתרברב בעצמו,איטי:יסודי,"אם משהו נעשה באופן איטי, ייתכן שהוא נעשה באופן יסודי",חטטן:סקרן,"אם מישהו הוא חטטן, הוא סקרן בתחומים הנוגעים לאחרים",4,1,0
FA22,b,NITE,1,מדיד:למדוד,מדיד הוא משהו שניתן למדוד אותו,שמיש:להשתמש,שמיש הוא משהו שניתן להשתמש בו,תקין:לתקן,"אם משהו תקין, לא צריך לתקן אותו",פעיל:לפעול,"אם משהו פעיל, הוא ממשיך לפעול",חמים:לחמם,"אם משהו חמים, ניתן להפסיק/להמשיך לחמם אותו",1,0,0
FA22,b,NITE,2,בעתה:פחד, בעתה היא פחד עז,חרטה:אשמה,חרטה היא הרגשת צער שיכולה לנבוע מתחושת אשמה,שוועה:מצוקה,שוועה היא קריאה לעזרה בעת מצוקה.,חרון:כעס,חרון הוא כעס גדול,תוחלת:ייאוש,תוחלת (תקווה) היא ההפך מייאוש,3,0,0
FA22,b,NITE,3,בית:כתובת,כתובת ספציפית היא דרך לסימון בית מסוים,מדינה:המנון,המנון הוא שיר רשמי של מדינה,נהג:רישיון נהיגה,רישיון נהיגה היא תעודה המעידה שהנהג מוסמך לנהוג,חוזה:חתימה,חתימה על חוזה מהווה הסכמה לכתוב בו,יום:תאריך,תאריך ספציפי הוא דרך לסימון יום מסוים,4,0,0
FA22,b,NITE,4,דלק:תפס,"אם מישהו דלק אחרי מישהו והצליח, הוא תפס אותו",חקר:גילה,"אם מישהו חקר משהו והצליח, הוא גילה משהו",נרדם:הקיץ,"אם מישהו נרדם ואז התעורר, הוא הקיץ",הרשיע:העניש,"הרשיע פירושו קבע שאחר אשם בעבירה, וייתכן שהעניש אותו",התגונן:נפגע,התגונן זה ניסה להימנע מלהפוך לנפגע,1,1,0
FA22,b,NITE,5,גבעול:זר,"גבעול הוא חלק בפרח. אם מלקטים כמה פרחים וקושרים אותם, מתקבל זר",ארון:ריהוט,ארון הוא אחד מפריטי הריהוט בבית,כבשה:עדר,כבשה עשויה להיות חלק מעדר,ענף:עץ,ענף הוא חלק מעץ,סיפון:צי,"סיפון הוא משטח בכלי השיט. אם מקבצים כמה כלי שיט, מתקבל צי",4,1,0
FA22,b,NITE,6,בחפץ לב:לסרב,"בחפץ לב פירושו להסכים בשמחה, כלומר ההפך מלסרב למשהו",סייג לחכמה שתיקה:לדבר,סייג לחכמה שתיקה הוא פתגם שמשמעותו היא שעדיף לא לדבר במקרים מסוימים,לא ייאמן:להאמין,את צמד המילים לא ייאמן אומרים בדרך כלל כאשר מתקשים להאמין,לא היה ולא נברא:לאשר,"לא היה ולא נברא פירושו להכחיש בתוקף, ההפך מלאשר משהו",לא יקום ולא יהיה:להתקיים,לא יקום ולא יהיה פירושו הוא שלא עתיד להתקיים משהו,3,0,1
SP22,a,NITE,1,חיריק:לנקד,ניתן לנקד עם חיריק,גוון:לצבוע,ניתן לצבוע עם צבע שהוא בגוון מסוים,שלוש:להכפיל,ניתן להכפיל במספר שלוש,מעיל:לרכוס,לרכוס היא פעולת סגירת המעיל,קינמון:לתבל,ניתן לתבל עם קינמון,4,0,0
SP22,a,NITE,2,"מנכ""ל:עובד","מנכ""ל אחראי על עובד",רב חובל:מלח,רב חובל אחראי על מלח,חייל:טירון,חייל מתחיל את תפקידו ברמת טירון,שופט:עורך דין,תפקידו של השופט הוא להכריע בין דבריו של עורך הדין,סוהר:אסיר,תפקידו של הסוהר הוא להיות אחראי על האסיר,1,1,1
SP22,a,NITE,3,כרה:בור,כרה פירושו יצר בור,שתל:שתיל,שתל פירושו היא הכניס שתיל לאדמה,האכיל:אוכל,האכיל פירושו נתן לאחר אוכל,הדביק:דבק,הדביק פירושו חיבר דבר לדבר עם דבק,צייר:ציור,צייר פירושו יצר ציור,4,0,0
SP22,a,NITE,4,החליש:מיגר,מיגר פירושו החליש עד להפסקה מוחלטת של הדבר,עמעם:כיבה,כיבה פירושו עמעם עד להפסקה מוחלטת של האור,עלעל:רפרף,רפרף בדפים זה עלעל,ערער:הסכים,הסכים פירושו לא ערער,עפעף:פלבל,פלבל היא תנועה של עפעוף,1,1,0
SP22,a,NITE,5,תחינה:ליבו נכמר,מי שליבו נכמר הגיב בחיוב לפעולת התחינה,פשרה:נאבק,מי שנאבק לא הגיע לפשרה,תזכורת:נזכר,מי שנזכר הגיב בחיוב לפעולת התזכורת,צידוק:הצטדק,מי שהצטדק עשה צידוק עצמי,תשלום:התמקח,מי שהתמקח ניהל משא ומתן על התשלום,2,0,1
SP22,a,NITE,6,מגדל קלפים:יציב,מגדל קלפים הוא כינוי לדבר שאינו יציב,שלג דאשתקד:מעניין,שלג דאשתקד הוא כינוי לדבר שאינו מעניין,עקב אכילס:חסין,עקב אכילס היא נקודת חולשה שהופכת אדם ללא חסין,עלה תאנה:מביך,"עלה תאנה היא דימוי להסתרת מעשה, ייתכן מפני שהוא מביך",אבן שאין לה הופכין:זנוח,"אבן שאין לה הופכין היא דימוי לדבר זנוח, שלא משתמשים בו",1,1,1
SP22,b,NITE,1,גירד:ציפורן,גירד פירושו העביר את הציפורן שלו על גבי משטח,ליקק:לשון,ליקק פירושו העביר את הלשון שלו על גבי משטח,סטר:לחי,סטר פירושו נתן מכה ללחי של אדם אחר,מצמץ:עין,מצמץ פירושו סגר את העין,ענד:תנוך,ענד פירושו שם תכשיט על האוזן,1,0,0
SP22,b,NITE,2,מידע:סקרן,סקרן הוא מי שרוצה לקבל כמה שיותר מידע,עמדות:דעתן,דעתן הוא מי שיש לו הרבה עמדות בנושאים שונים,כסף:בזבזן,בזבזן הוא מי שמוציא הרבה כסף,תאווה:חמדן,חמדן הוא מי שיש לו תאווה לדבר מסוים,הישגים:שאפתן,שאפתן הוא מי שרוצה להגיע לכמה שיותר הישגים,4,0,0
SP22,b,NITE,3,להיחפז:לזרז,לזרז פירושו לנסות לגרום לאדם אחר להיחפז,להימלט:לרדוף,"לרדוף פירושו להטריד מישהו, לנסות להשיג אותו, ייתכן שהוא בתגובה יחליט להימלט אך זה לא נעשה כדי לגרום לו להימלט",להקשיב:להאזין,להאזין פירושו להקשיב בסתר,להיזהר:להתריע,להתריע פירושו לנסום לגרום לאדם אחר להיזהר,להיעזר:להזדקק,להיזדקק פירושו לבקש להיעזר באדם אחר,3,0,0
SP22,b,NITE,4,מחלפות:מספריים,מחלפות הן שיערות אסופות יחד שניתן לגזור באמצעות מספריים,נדן:חרב,נדן הוא נרתיק שמשמש לאחסון חרב,חיטה:מגל,חיטה היא דגן שניתן לקצור באמצעות מגל,מאכלת:סכין,מאכלת היא סוג של סכין גדולה,שן:מסור,שן היא חלק במסור,2,0,0
SP22,b,NITE,5,מנומר:חברבורה,חברבורה היא חלק מדבר בעל דפוס מנומר,מכופתר:כפתור,כפתור הוא חלק מפריט שיכול להיות מכופתר,כדורי:כדור,כדור הוא עצם כדורי,פרחוני:פרח,פרח הוא חלק מדבר בעל דפוס פרחוני,מגולען:גלעין,גלעין הוא חלק מפרי שיכול להיות מגולען,3,0,0
SP22,b,NITE,6,ערג:כיסופים,מי שערג לדבר מה חש כיסופים,התעמר:ייסורים,מי שהתעמר באדם אחר גרם לו ייסורים,התבדה:אשליות,מי שהתבדה הבין שמדובר באשליות,התעודד:ניחומים,מי שהתעודד לא היה צריך עוד ניחומים,התחבט:לבטים,מי שהתחבט לגבי דבר מה חש לבטים,4,0,0
WIN21,a,NITE,1,נגיש:להגיע,נגיש הוא תיאור לדבר שקל להגיע אליו,תשוש:להתעייף,אדם תשוש עשה את הפעולה של להתעייף,נדוש:לחדש,נדוש הוא תיאור לדבר שלא נוטים לחדש (שלא חידשו אותו),תלול:להעפיל,תלול הוא תיאור לדבר שקשה להעפיל אליו,ניכר:להבחין,ניכר הוא תיאור לדבר שקל להבחין בו,4,0,0
WIN21,a,NITE,2,עץ:שבב,כשחותכים עץ נוצרים שבבים,אבקה:גרגר,אבקה מורכבת מהרבה גרגרים,פרי:חרצן,חרצן הוא הגלעין של הפרי,לחם:פירור,כשחותכים לחם נוצרים פירורים,גשם:טיפה,גשם מורכב מהרבה טיפות,3,0,0
WIN21,a,NITE,3,דגל לבן:כניעה,דגל לבן משמש בכדי להביע כניעה,אבן נגף:הכשלה,אבן נגף היא מכשול שמטרתו לגרום להכשלה,מחיאת כף:שבח,מחיאת כף משמשת בכדי להביע שבח,משיכת כתף:תגובה,משיכת כתף היא סוג של תגובה שנועדה להביע אדישות או חוסר עניין,טביעת אצבע:זהות,באמצעות טביעת אצבע ניתן לקבוע את הזהות של אדם,2,0,1
WIN21,a,NITE,4,התפרסם:אנונימיות,מי שהתפרסם כבר לא נמצא במצב של אנונימיות,התפכח:צלילות,מי שהתפכח נמצא במצב של צלילות,התלבט:החלטיות,מי שהתלבט בדבר מה התאפיין בחוסר החלטיות,התנגד:הסכמה,מי שהתנגד הביע חוסר הסכמה כלפי דבר מה,התרפא:מחלה,מי שהתרפא כבר לא נמצא במצב של מחלה,4,0,0
WIN21,a,NITE,5,מתרגם:שפה,מתרגם הוא מקצועו של אדם אשר מחליף טקסט משפה אחת לשפה אחרת,מתווך:עסקה,מתווך הוא מקצועו של אדם אשר תפקידו להפגיש אנשים לצורך ביצוע של עסקה,חלפן:מטבע,חלפן הוא מקצועו של אדם אשר מחליף מטבע מסוג אחד לסוג אחר,מיסיונר:דת,מיסיונר הוא מקצועו של אדם אשר תפקידו להפיץ דת מסוימת,מדובב:קול,מדובב הוא מקצועו של אדם אשר תפקידו ליצור קול לדמויות מצוירות,2,0,0
WIN21,a,NITE,6,ידע:איש אשכולות,איש אשכולות הוא כינוי לאדם שיש לו ידע בתחומים רבים מגוונים,אבן:פסיפס,פסיפס מורכב מאבן קטנות וצבעוניות המשובצות בעיצוב מסוים,סחורה:כולבו,כולבו היא חנות שיש בה סחורה מסוגים רבים ומגוונים,מים:אוקיינוס,אוקיינוס הוא ים גדול שמכיל כמויות רבות של מים,חשמל:תחנת כוח,תפקידה של תחנת כוח הוא להפיק חשמל,2,1,1
