sentence,word_pair,POS_word1,POS_word2
הרווקות נגמרת בשעת החתונה,חתונה:רווקות,NOUN,NOUN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הקיש:הלם,VERB,VERB
לקצוב פירושו לקבוע מידה מסוימת של זמן,לקצוב:זמן,UNDEFINED,NOUN
מה ששצף ביצע את הפעולה של לזרום בכוח,לזרום:שצף,VERB,VERB
שבע רצון הוא אדם שחש סיפוק,שבע רצון:סיפוק,PHRASE,NOUN
מאסף נמצא בסוף השיירה,שיירה:מְאסף,NOUN,UNDEFINED
שכתוב היא פעולה שעשה מי שכתב מחדש,כָּתַב:שכתוב,UNDEFINED,NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,נושה:חייב,NOUN,NOUN
לדוג פירשו לאסוף דג מהמים,לדוג:דג,VERB,NOUN
מיתרים מחוברים לגוף הכינור,כינור:מיתרים,NOUN,NOUN
.חייב הוא אדם שיש לו חוב,חייב:חוב,NOUN,NOUN
מסעד מאפשר לאדם להיות שעון,מסעד:שעון,NOUN,ADJECTIVE
מי שהפתיע עשה דבר מה לא צפוי,הפתיע:צפוי,VERB,ADJECTIVE
דמיוני הוא מה שאין בו ממש,דמיוני:ממש,ADJECTIVE,OTHER
דיוקן הוא תוצר עבודתו של הצייר,צַייר:דיוקן,UNDEFINED,NOUN
אצעדה היא סוג של תכשיט,אצעדה:תכשיט,NOUN,NOUN
הדרן הוא קטע הופעה נוסף שהאומן מצבע לאחר סוף המופע,מופע:הדרן,NOUN,NOUN
משט מורכב ממספר אניות,משט:אנייה,NOUN,UNDEFINED
אח הוא סוג של שאר (קרוב משפחה),אח:שאֵר,NOUN,UNDEFINED
ססגוני הוא מה שמאופיין בצבעים רבים ומגוונים,ססגוני:צבע,ADJECTIVE,NOUN
אדם שבייש אדם אחר גרם לו להרגיש נכלם,נכלם:בייש,ADJECTIVE,VERB
הכביר הוא מי שביצע פעולה הפוכה מלהמעיט,הכביר:להמעיט,UNDEFINED,VERB
כדי להוציא דבר מה ממצב של משכון יש לפדות אותו,משכוֹן:לפדות,UNDEFINED,VERB
אחד מסוגי הצבע הוא שני,צבע:שני,NOUN,NOUN
