sentence,word,POS
הרווקות נגמרת בשעת החתונה,ה,DET
הרווקות נגמרת בשעת החתונה,רווקות,NOUN
הרווקות נגמרת בשעת החתונה,נגמרת,VERB
הרווקות נגמרת בשעת החתונה,ב,ADP
הרווקות נגמרת בשעת החתונה,שעת,NOUN
הרווקות נגמרת בשעת החתונה,החתונה,NOUN
שינוי לרעה הוא החמרה,שינוי,NOUN
שינוי לרעה הוא החמרה,ל,ADP
שינוי לרעה הוא החמרה,רעה,NOUN
שינוי לרעה הוא החמרה,הוא,AUX
שינוי לרעה הוא החמרה,ה,DET
שינוי לרעה הוא החמרה,חמרה,NOUN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,גמלאות,NOUN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,(,PUNCT
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,תשלומי,NOUN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,פנסיה,NOUN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,),PUNCT
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,הן,AUX
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,מה,ADV
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,ש,SCONJ
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,אדם,NOUN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,מקבל,VERB
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,לאחר,ADP
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,גיל,NOUN
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,ה,DET
גמלאות (תשלומי פנסיה) הן מה שאדם מקבל לאחר גיל הפרישה,פרישה,NOUN
היום נגמר בשעת שקיעה,ה,DET
היום נגמר בשעת שקיעה,יום,NOUN
היום נגמר בשעת שקיעה,נגמר,VERB
היום נגמר בשעת שקיעה,ב,ADP
היום נגמר בשעת שקיעה,שעת,NOUN
היום נגמר בשעת שקיעה,שקיעה,NOUN
מי שסובל מקירחות אינו זקוק לתספורת,מי,ADV
מי שסובל מקירחות אינו זקוק לתספורת,ש,SCONJ
מי שסובל מקירחות אינו זקוק לתספורת,סובל,VERB
מי שסובל מקירחות אינו זקוק לתספורת,מ,ADP
מי שסובל מקירחות אינו זקוק לתספורת,קירחות,NOUN
מי שסובל מקירחות אינו זקוק לתספורת,אינו,AUX
מי שסובל מקירחות אינו זקוק לתספורת,זקוק,AUX
מי שסובל מקירחות אינו זקוק לתספורת,ל,ADP
מי שסובל מקירחות אינו זקוק לתספורת,תספורת,NOUN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,אדם,NOUN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ש,SCONJ
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הלם,VERB
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ב,ADP
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,דבר,NOUN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,מה,ADV
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הוא,AUX
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הקיש,VERB
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,ה_,DET
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,חוזקה,NOUN
