sentence,word,phrases,yap_pos,trankit_pos,POS
הרווקות נגמרת בשעת החתונה,חתונה,0,['NN'],['NOUN'],NOUN
הרווקות נגמרת בשעת החתונה,רווקות,0,['NN'],['NOUN'],NOUN
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הקיש,0,['VB'],['VERB'],VERB
אדם שהלם בדבר מה הוא אדם שהקיש בדבר מה בחוזקה,הלם,0,['VB'],['VERB'],VERB
לקצוב פירושו לקבוע מידה מסוימת של זמן,לקצוב,0,[],[],UNDEFINED
לקצוב פירושו לקבוע מידה מסוימת של זמן,זמן,0,['NN'],['NOUN'],NOUN
מה ששצף ביצע את הפעולה של לזרום בכוח,לזרום,0,['VB'],['VERB'],VERB
מה ששצף ביצע את הפעולה של לזרום בכוח,שצף,0,['VB'],[],VERB
שבע רצון הוא אדם שחש סיפוק,שבע רצון,1,[],[],PHRASE
שבע רצון הוא אדם שחש סיפוק,סיפוק,0,['NN'],['NOUN'],NOUN
מאסף נמצא בסוף השיירה,שיירה,0,['NN'],['NOUN'],NOUN
מאסף נמצא בסוף השיירה,מְאסף,0,[],[],UNDEFINED
שכתוב היא פעולה שעשה מי שכתב מחדש,כָּתַב,0,[],[],UNDEFINED
שכתוב היא פעולה שעשה מי שכתב מחדש,שכתוב,0,['NN'],[],NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,נושה,0,['NN'],['PROPN'],NOUN
נושה הוא מי שיש אדם אחר שהוא החייב (בעל חוב) שלו,חייב,0,['NN'],['ADJ'],NOUN
לדוג פירשו לאסוף דג מהמים,לדוג,0,['VB'],['VERB'],VERB
לדוג פירשו לאסוף דג מהמים,דג,0,['NN'],['NOUN'],NOUN
מיתרים מחוברים לגוף הכינור,כינור,0,['NN'],['NOUN'],NOUN
מיתרים מחוברים לגוף הכינור,מיתרים,0,['NN'],['NOUN'],NOUN
.חייב הוא אדם שיש לו חוב,חייב,0,['NN'],[],NOUN
.חייב הוא אדם שיש לו חוב,חוב,0,['NN'],[],NOUN
מסעד מאפשר לאדם להיות שעון,מסעד,0,['NN'],['NOUN'],NOUN
מסעד מאפשר לאדם להיות שעון,שעון,0,['JJ'],['NOUN'],ADJECTIVE
מי שהפתיע עשה דבר מה לא צפוי,הפתיע,0,['VB'],['VERB'],VERB
מי שהפתיע עשה דבר מה לא צפוי,צפוי,0,['MD'],['ADJ'],ADJECTIVE
דמיוני הוא מה שאין בו ממש,דמיוני,0,['JJ'],[],ADJECTIVE
דמיוני הוא מה שאין בו ממש,ממש,0,['RB'],['ADV'],OTHER
דיוקן הוא תוצר עבודתו של הצייר,צַייר,0,[],[],UNDEFINED
דיוקן הוא תוצר עבודתו של הצייר,דיוקן,0,['NN'],['NOUN'],NOUN
אצעדה היא סוג של תכשיט,אצעדה,0,['NN'],['PROPN'],NOUN
אצעדה היא סוג של תכשיט,תכשיט,0,['NN'],['NOUN'],NOUN
הדרן הוא קטע הופעה נוסף שהאומן מצבע לאחר סוף המופע,מופע,0,['NN'],['NOUN'],NOUN
הדרן הוא קטע הופעה נוסף שהאומן מצבע לאחר סוף המופע,הדרן,0,['NN'],[],NOUN
משט מורכב ממספר אניות,משט,0,['NN'],['NOUN'],NOUN
משט מורכב ממספר אניות,אנייה,0,[],[],UNDEFINED
אח הוא סוג של שאר (קרוב משפחה),אח,0,['NN'],['NOUN'],NOUN
אח הוא סוג של שאר (קרוב משפחה),שאֵר,0,[],[],UNDEFINED
ססגוני הוא מה שמאופיין בצבעים רבים ומגוונים,ססגוני,0,['JJ'],['ADJ'],ADJECTIVE
ססגוני הוא מה שמאופיין בצבעים רבים ומגוונים,צבע,0,['NN'],['NOUN'],NOUN
אדם שבייש אדם אחר גרם לו להרגיש נכלם,נכלם,0,['JJ'],['VERB'],ADJECTIVE
אדם שבייש אדם אחר גרם לו להרגיש נכלם,בייש,0,['VB'],[],VERB
הכביר הוא מי שביצע פעולה הפוכה מלהמעיט,הכביר,0,[],[],UNDEFINED
הכביר הוא מי שביצע פעולה הפוכה מלהמעיט,להמעיט,0,['VB'],['VERB'],VERB
כדי להוציא דבר מה ממצב של משכון יש לפדות אותו,משכוֹן,0,[],[],UNDEFINED
כדי להוציא דבר מה ממצב של משכון יש לפדות אותו,לפדות,0,['VB'],['VERB'],VERB
אחד מסוגי הצבע הוא שני,צבע,0,['NN'],['NOUN'],NOUN
אחד מסוגי הצבע הוא שני,שני,0,['NNT'],['NUM'],NOUN
אדם שפקו ברכיו הוא אדם שמישהו הפחיד אותו,הפחיד,0,['VB'],['VERB'],VERB
אדם שפקו ברכיו הוא אדם שמישהו הפחיד אותו,פקו ברכיו,0,[],[],UNDEFINED
ניתן להונות בקלות אדם המתאפיין בתמימות,תמימות,0,['NN'],['NOUN'],NOUN
ניתן להונות בקלות אדם המתאפיין בתמימות,להונות,0,['VB'],['VERB'],VERB
קצר רוח הוא מי שרוצה דבר מה מיד,קצר רוח,1,[],[],PHRASE
קצר רוח הוא מי שרוצה דבר מה מיד,מיד,0,['RB'],['ADV'],OTHER
נגיש הוא תיאור לדבר שקל להגיע אליו,נגיש,0,['JJ'],['VERB'],ADJECTIVE
נגיש הוא תיאור לדבר שקל להגיע אליו,להגיע,0,['VB'],['VERB'],VERB
דבר מהנה הוא דבר שגורם לתחושת הנאה,מהנה,0,['JJ'],[],ADJECTIVE
דבר מהנה הוא דבר שגורם לתחושת הנאה,הנאה,0,[],['NOUN'],NOUN
עצם לוהט הוא מאוד חם,חם,0,['JJ'],['ADJ'],ADJECTIVE
עצם לוהט הוא מאוד חם,לוהט,0,['JJ'],['ADJ'],ADJECTIVE
הסתלק הוא מי שסילק את עצמו,הסתלק,0,['VB'],['VERB'],VERB
הסתלק הוא מי שסילק את עצמו,סילק,0,['VB'],['VERB'],VERB
מסגרת היא מבנה חיצוני אשר נועד להחזיק את עדשות המשקפיים,מסגרת,0,['NN'],['NOUN'],NOUN
מסגרת היא מבנה חיצוני אשר נועד להחזיק את עדשות המשקפיים,עדשות,0,['NNT'],['NOUN'],NOUN
סיקל הוא מי שסילק אבן שהפריעה לו מהשטח,סיקל,0,['VB'],['PROPN'],VERB
סיקל הוא מי שסילק אבן שהפריעה לו מהשטח,אבן,0,['NN'],['NOUN'],NOUN
לקבול משמעו לטעון כי משהו אינו כשורה,לקבול,0,[],['VERB'],VERB
לקבול משמעו לטעון כי משהו אינו כשורה,כשורה,0,[],['ADJ'],ADJECTIVE
בכבל חשמל עובר חשמל,חשמל,0,"['VB', 'NN']",['NOUN'],NOUN
בכבל חשמל עובר חשמל,כבל חשמל,0,[],[],UNDEFINED
לא ייתכן שמישהו כילה דבר בלתי נדלה,בלתי נדלה,1,[],[],PHRASE
לא ייתכן שמישהו כילה דבר בלתי נדלה,כילה,0,['VB'],['VERB'],VERB
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,דומה לו,1,[],[],PHRASE
אם מישהו דומה לו זה אומר שיש ביניהם דמיון,דמיון,0,['NN'],[],NOUN
מי שהתבשר קיבל בשורה,התבשר,0,[],['VERB'],VERB
מי שהתבשר קיבל בשורה,בשורה,0,['NN'],[],NOUN
